Sample in Buffer,Sample in Window,TRIGGER,cpu/if_pc/ex_alu/data1[31:0],cpu/register_file/_register_reg[31]_31[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,00000000,bfc00aa8
1,1,0,d1b00f33,bfc00aa8
2,2,0,ffffff01,bfc00aa8
3,3,0,ffff4051,bfc00aa8
4,4,0,bfae0010,bfc00aa8
5,5,0,bfaffff0,bfc00aa8
6,6,0,00000000,bfc00aa8
7,7,0,00000000,bfc00aa8
8,8,0,d1b00f34,bfc00aa8
9,9,0,ffffff01,bfc00aa8
10,10,0,ffff4051,bfc00aa8
11,11,0,bfae0010,bfc00aa8
12,12,0,bfaffff0,bfc00aa8
13,13,0,00000000,bfc00aa8
14,14,0,00000000,bfc00aa8
15,15,0,d1b00f35,bfc00aa8
16,16,0,ffffff01,bfc00aa8
17,17,0,ffff4051,bfc00aa8
18,18,0,bfae0010,bfc00aa8
19,19,0,bfaffff0,bfc00aa8
20,20,0,00000000,bfc00aa8
21,21,0,00000000,bfc00aa8
22,22,0,d1b00f36,bfc00aa8
23,23,0,ffffff01,bfc00aa8
24,24,0,ffff4051,bfc00aa8
25,25,0,bfae0010,bfc00aa8
26,26,0,bfaffff0,bfc00aa8
27,27,0,00000000,bfc00aa8
28,28,0,00000000,bfc00aa8
29,29,0,d1b00f37,bfc00aa8
30,30,0,ffffff01,bfc00aa8
31,31,0,ffff4051,bfc00aa8
32,32,0,bfae0010,bfc00aa8
33,33,0,bfaffff0,bfc00aa8
34,34,0,00000000,bfc00aa8
35,35,0,00000000,bfc00aa8
36,36,0,d1b00f38,bfc00aa8
37,37,0,ffffff01,bfc00aa8
38,38,0,ffff4051,bfc00aa8
39,39,0,bfae0010,bfc00aa8
40,40,0,bfaffff0,bfc00aa8
41,41,0,00000000,bfc00aa8
42,42,0,00000000,bfc00aa8
43,43,0,d1b00f39,bfc00aa8
44,44,0,ffffff01,bfc00aa8
45,45,0,ffff4051,bfc00aa8
46,46,0,bfae0010,bfc00aa8
47,47,0,bfaffff0,bfc00aa8
48,48,0,00000000,bfc00aa8
49,49,0,00000000,bfc00aa8
50,50,0,d1b00f3a,bfc00aa8
51,51,0,ffffff01,bfc00aa8
52,52,0,ffff4051,bfc00aa8
53,53,0,bfae0010,bfc00aa8
54,54,0,bfaffff0,bfc00aa8
55,55,0,00000000,bfc00aa8
56,56,0,00000000,bfc00aa8
57,57,0,d1b00f3b,bfc00aa8
58,58,0,ffffff01,bfc00aa8
59,59,0,ffff4051,bfc00aa8
60,60,0,bfae0010,bfc00aa8
61,61,0,bfaffff0,bfc00aa8
62,62,0,00000000,bfc00aa8
